manga_id,url_manga,title,title_english,title_japanese,chapters,volumes,status,start_published,end_published,score,rank,authors,genres,themes
158,https://myanimelist.net/manga/158/Ghost_Hunt,Ghost Hunt,Ghost Hunt,ゴーストハント,43.0,12.0,Finished,1997-12-06T00:00:00+00:00,2010-09-30T00:00:00+00:00,8.23,381.0,"['Inada, Shiho', 'Ono, Fuyumi']","['Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural']",['Psychological']
159,https://myanimelist.net/manga/159/Brave_Story__Shinsetsu,Brave Story: Shinsetsu,,ブレイブ・ストーリー～新説～,199.0,20.0,Finished,2004-04-09T00:00:00+00:00,2008-05-09T00:00:00+00:00,6.77,11966.0,"['Ono, Youichirou', 'Miyabe, Miyuki']","['Action', 'Fantasy']",['Isekai']
160,https://myanimelist.net/manga/160/School_Rumble,School Rumble,School Rumble,スクールランブル,345.0,22.0,Finished,2002-10-23T00:00:00+00:00,2008-07-23T00:00:00+00:00,7.98,787.0,"['Kobayashi, Jin']","['Comedy', 'Romance']","['Gag Humor', 'Love Polygon', 'School']"
161,https://myanimelist.net/manga/161/Brigadoon__Marin_to_Melan,Brigadoon: Marin to Melan,Brigadoon,BRIGADOON まりんとメラン,10.0,2.0,Finished,2000-01-01T00:00:00+00:00,2001-01-01T00:00:00+00:00,6.63,13968.0,"['Watase, Nozomi']","['Action', 'Comedy', 'Sci-Fi']",[]
162,https://myanimelist.net/manga/162/Bus_Gamer,Bus Gamer,Bus Gamer,BUS GAMER,11.0,1.0,Finished,1999-01-01T00:00:00+00:00,2001-11-28T00:00:00+00:00,7.27,5046.0,"['Minekura, Kazuya']","['Action', 'Drama', 'Mystery']",[]
163,https://myanimelist.net/manga/163/Kimi_ni_shika_Kikoenai,Kimi ni shika Kikoenai,Calling You,きみにしか聞こえない,5.0,1.0,Finished,2003-12-01T00:00:00+00:00,,7.29,4853.0,"['Tsuzuki, Setsuri', 'Otsuichi']",['Drama'],[]
164,https://myanimelist.net/manga/164/Nousatsu_Junkie,Nousatsu Junkie,Nosatsu Junkie,悩殺ジャンキー,96.0,16.0,Finished,2003-10-04T00:00:00+00:00,2008-11-20T00:00:00+00:00,7.93,907.0,"['Fukuyama, Ryoco']","['Comedy', 'Romance']","['Crossdressing', 'School', 'Showbiz']"
165,https://myanimelist.net/manga/165/Cherry_Juice,Cherry Juice,Cherry Juice,チェリージュース,21.0,4.0,Finished,2004-06-03T00:00:00+00:00,2006-03-17T00:00:00+00:00,7.22,5654.0,"['Fukushima, Haruka']","['Comedy', 'Romance']",['School']
166,https://myanimelist.net/manga/166/Chou_Shinri_Genshou_Nouryokusha_Nanaki,Chou Shinri Genshou Nouryokusha Nanaki,Psychic Power Nanaki,超心理現象能力者 ナナキ,17.0,3.0,Finished,2003-10-20T00:00:00+00:00,2004-10-05T00:00:00+00:00,7.05,7912.0,"['Saenagi, Ryou']","['Action', 'Adventure', 'Comedy', 'Mystery', 'Supernatural']",[]
167,https://myanimelist.net/manga/167/Chronicles_of_the_Cursed_Sword,Chronicles of the Cursed Sword,Chronicles of the Cursed Sword,파검기,163.0,37.0,Finished,1999-01-01T00:00:00+00:00,2009-01-01T00:00:00+00:00,6.92,9773.0,"['Yeo, Beop-Ryong', 'Park, Hui-Jin']","['Action', 'Adventure', 'Drama', 'Fantasy']",['Martial Arts']
168,https://myanimelist.net/manga/168/Chrono_Code,Chrono Code,Chrono Code,리버사이드,18.0,2.0,Finished,2005-07-12T00:00:00+00:00,2005-10-11T00:00:00+00:00,,18818.0,"['Choi, Il-ho', 'Shin, Eui-Chul']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[]
169,https://myanimelist.net/manga/169/Comic_Party,Comic Party,Comic Party,こみっくパーティー,49.0,5.0,Finished,2001-01-01T00:00:00+00:00,2005-03-01T00:00:00+00:00,6.88,10479.0,"['Inui, Sekihiko', 'Aquaplus']",['Comedy'],"['Harem', 'Otaku Culture']"
170,https://myanimelist.net/manga/170/Mondaiteiki_Sakuhinshu,Mondaiteiki Sakuhinshu,Confidential Confessions,問題提起 作品集,23.0,6.0,Finished,2000-01-01T00:00:00+00:00,2002-01-01T00:00:00+00:00,7.68,1800.0,"['Momochi, Reiko']","['Drama', 'Romance']","['Psychological', 'School']"
